127.0.0.1 - - [21/Dec/2017:11:25:50 -0600] "GET / HTTP/1.1" 404 1073
0:0:0:0:0:0:0:1 - - [21/Dec/2017:11:25:51 -0600] "GET /com.warpww.web/ HTTP/1.1" 200 2143
0:0:0:0:0:0:0:1 - - [21/Dec/2017:11:25:51 -0600] "GET /com.warpww.web/cssx/warpSite2.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2017:11:25:52 -0600] "GET /com.warpww.web/imgx/Warp_Image_Shutterstock_Star.jpg HTTP/1.1" 200 5011058
0:0:0:0:0:0:0:1 - - [21/Dec/2017:11:26:17 -0600] "GET /com.warpww.web/membermanagement HTTP/1.1" 200 5473
0:0:0:0:0:0:0:1 - - [21/Dec/2017:11:26:17 -0600] "GET /com.warpww.web/cssx/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2017:11:26:17 -0600] "GET /com.warpww.web/cssx/warp_custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2017:11:26:17 -0600] "GET /com.warpww.web/jsx/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2017:11:26:19 -0600] "GET /com.warpww.web/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2017:11:26:25 -0600] "POST /com.warpww.web/membermanagement HTTP/1.1" 200 6498
0:0:0:0:0:0:0:1 - - [21/Dec/2017:11:40:30 -0600] "POST /com.warpww.web/membermanagement HTTP/1.1" 200 6735
0:0:0:0:0:0:0:1 - - [21/Dec/2017:11:40:30 -0600] "GET /com.warpww.web/cssx/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2017:11:40:30 -0600] "GET /com.warpww.web/cssx/warp_custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2017:11:40:30 -0600] "GET /com.warpww.web/jsx/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2017:11:40:32 -0600] "GET /com.warpww.web/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2017:11:40:36 -0600] "POST /com.warpww.web/membermanagement HTTP/1.1" 200 6735
0:0:0:0:0:0:0:1 - - [21/Dec/2017:11:41:53 -0600] "POST /com.warpww.web/membermanagement HTTP/1.1" 200 6767
0:0:0:0:0:0:0:1 - - [21/Dec/2017:11:41:53 -0600] "GET /com.warpww.web/cssx/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2017:11:41:53 -0600] "GET /com.warpww.web/cssx/warp_custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2017:11:41:53 -0600] "GET /com.warpww.web/jsx/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2017:11:41:55 -0600] "GET /com.warpww.web/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2017:11:41:56 -0600] "POST /com.warpww.web/membermanagement HTTP/1.1" 200 6767
0:0:0:0:0:0:0:1 - - [21/Dec/2017:11:43:44 -0600] "POST /com.warpww.web/membermanagement HTTP/1.1" 200 6770
0:0:0:0:0:0:0:1 - - [21/Dec/2017:11:43:44 -0600] "GET /com.warpww.web/jsx/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2017:11:43:44 -0600] "GET /com.warpww.web/cssx/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2017:11:43:44 -0600] "GET /com.warpww.web/cssx/warp_custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2017:11:43:47 -0600] "GET /com.warpww.web/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2017:11:46:45 -0600] "POST /com.warpww.web/membermanagement HTTP/1.1" 200 6771
0:0:0:0:0:0:0:1 - - [21/Dec/2017:11:46:45 -0600] "GET /com.warpww.web/cssx/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2017:11:46:45 -0600] "GET /com.warpww.web/cssx/warp_custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2017:11:46:45 -0600] "GET /com.warpww.web/jsx/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2017:11:46:48 -0600] "GET /com.warpww.web/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2017:11:51:43 -0600] "POST /com.warpww.web/membermanagement HTTP/1.1" 200 6880
0:0:0:0:0:0:0:1 - - [21/Dec/2017:11:51:43 -0600] "GET /com.warpww.web/cssx/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2017:11:51:43 -0600] "GET /com.warpww.web/cssx/warp_custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2017:11:51:43 -0600] "GET /com.warpww.web/jsx/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2017:11:51:45 -0600] "GET /com.warpww.web/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2017:12:14:59 -0600] "POST /com.warpww.web/membermanagement HTTP/1.1" 200 7012
0:0:0:0:0:0:0:1 - - [21/Dec/2017:12:15:04 -0600] "POST /com.warpww.web/membermanagement HTTP/1.1" 200 7012
0:0:0:0:0:0:0:1 - - [21/Dec/2017:12:15:05 -0600] "GET /com.warpww.web/jsx/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2017:12:15:05 -0600] "GET /com.warpww.web/cssx/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2017:12:15:05 -0600] "GET /com.warpww.web/cssx/warp_custom.css HTTP/1.1" 304 -
